component,type,predicted_score,predicted_rank,predicted_level,actual_impact,actual_rank,actual_level,rank_diff,correctly_classified
A11,Application,0.4808,1,medium,0.4444,1,medium,0,True
A2,Application,0.0808,9,low,0.4074,2,medium,7,False
A7,Application,0.0968,2,low,0.4074,3,medium,1,False
A9,Application,0.0968,3,low,0.4074,4,medium,1,False
A6,Application,0.0000,18,low,0.3704,7,medium,11,False
A4,Application,0.0000,17,low,0.3704,6,medium,11,False
A1,Application,0.0808,8,low,0.3704,5,medium,3,False
A5,Application,0.0923,5,low,0.3333,8,medium,3,False
A8,Application,0.0923,6,low,0.3333,9,medium,3,False
A3,Application,0.0923,4,low,0.2963,10,low,6,True
A12,Application,0.0000,19,low,0.2963,11,low,8,True
A10,Application,0.0923,7,low,0.1852,12,low,5,True
B1,Broker,0.0000,15,low,0.0370,18,low,3,True
T3,Topic,0.0000,22,low,0.0370,22,low,0,True
N2,Node,0.0000,11,low,0.0370,14,low,3,True
T4,Topic,0.0000,23,low,0.0370,23,low,0,True
T5,Topic,0.0000,24,low,0.0370,24,low,0,True
T2,Topic,0.0000,21,low,0.0370,21,low,0,True
T6,Topic,0.0000,25,low,0.0370,25,low,0,True
N5,Node,0.0000,14,low,0.0370,17,low,3,True
T1,Topic,0.0000,20,low,0.0370,20,low,0,True
T8,Topic,0.0000,27,low,0.0370,27,low,0,True
B2,Broker,0.0000,16,low,0.0370,19,low,3,True
T7,Topic,0.0000,26,low,0.0370,26,low,0,True
N1,Node,0.0000,10,low,0.0370,13,low,3,True
N3,Node,0.0000,12,low,0.0370,15,low,3,True
N4,Node,0.0000,13,low,0.0370,16,low,3,True
