node_id,type,betweenness,is_articulation_point,impact_score,composite_score,level
A21,Application,1.0,False,0.2959,0.4888,medium
A43,Application,0.9815,False,0.2959,0.4814,medium
A28,Application,0.7824,False,0.2959,0.4017,medium
A36,Application,0.7028,False,0.2959,0.3699,medium
A20,Application,0.623,False,0.2959,0.338,medium
A27,Application,0.6176,False,0.2959,0.3358,medium
A30,Application,0.5167,False,0.2959,0.2955,low
A37,Application,0.514,False,0.2959,0.2944,low
A26,Application,0.3587,False,0.2959,0.2322,low
A22,Application,0.3552,False,0.2959,0.2308,low
A23,Application,0.2094,False,0.2959,0.1725,low
A45,Application,0.1969,False,0.2959,0.1675,low
A33,Application,0.0737,False,0.2959,0.1183,low
A46,Application,0.0662,False,0.2959,0.1152,low
A4,Application,0.0,False,0.3061,0.0918,low
A5,Application,0.0,False,0.3061,0.0918,low
A7,Application,0.0,False,0.3061,0.0918,low
A9,Application,0.0,False,0.3061,0.0918,low
A10,Application,0.0,False,0.3061,0.0918,low
A12,Application,0.0,False,0.3061,0.0918,low
A16,Application,0.0,False,0.3061,0.0918,low
A24,Application,0.0,False,0.3061,0.0918,low
A25,Application,0.0,False,0.3061,0.0918,low
A29,Application,0.0,False,0.3061,0.0918,low
A31,Application,0.0,False,0.3061,0.0918,low
A32,Application,0.0,False,0.3061,0.0918,low
A34,Application,0.0,False,0.3061,0.0918,low
A38,Application,0.0,False,0.3061,0.0918,low
A39,Application,0.0,False,0.3061,0.0918,low
A40,Application,0.0,False,0.3061,0.0918,low
A41,Application,0.0,False,0.3061,0.0918,low
A44,Application,0.0,False,0.3061,0.0918,low
A48,Application,0.0,False,0.3061,0.0918,low
A50,Application,0.0,False,0.3061,0.0918,low
A42,Application,0.0183,False,0.0204,0.0134,low
N1,Node,0.0,False,0.0,0.0,low
N2,Node,0.0,False,0.0,0.0,low
N3,Node,0.0,False,0.0,0.0,low
N4,Node,0.0,False,0.0,0.0,low
N5,Node,0.0,False,0.0,0.0,low
N6,Node,0.0,False,0.0,0.0,low
N7,Node,0.0,False,0.0,0.0,low
N8,Node,0.0,False,0.0,0.0,low
N9,Node,0.0,False,0.0,0.0,low
N10,Node,0.0,False,0.0,0.0,low
N11,Node,0.0,False,0.0,0.0,low
N12,Node,0.0,False,0.0,0.0,low
N13,Node,0.0,False,0.0,0.0,low
N14,Node,0.0,False,0.0,0.0,low
N15,Node,0.0,False,0.0,0.0,low
B1,Broker,0.0,False,0.0,0.0,low
B2,Broker,0.0,False,0.0,0.0,low
B3,Broker,0.0,False,0.0,0.0,low
B4,Broker,0.0,False,0.0,0.0,low
A1,Application,0.0,False,0.0,0.0,low
A2,Application,0.0,False,0.0,0.0,low
A3,Application,0.0,False,0.0,0.0,low
A6,Application,0.0,False,0.0,0.0,low
A8,Application,0.0,False,0.0,0.0,low
A11,Application,0.0,False,0.0,0.0,low
A13,Application,0.0,False,0.0,0.0,low
A14,Application,0.0,False,0.0,0.0,low
A15,Application,0.0,False,0.0,0.0,low
A17,Application,0.0,False,0.0,0.0,low
A18,Application,0.0,False,0.0,0.0,low
A19,Application,0.0,False,0.0,0.0,low
A35,Application,0.0,False,0.0,0.0,low
A47,Application,0.0,False,0.0,0.0,low
A49,Application,0.0,False,0.0,0.0,low
T1,Topic,0.0,False,0.0,0.0,low
T2,Topic,0.0,False,0.0,0.0,low
T3,Topic,0.0,False,0.0,0.0,low
T4,Topic,0.0,False,0.0,0.0,low
T5,Topic,0.0,False,0.0,0.0,low
T6,Topic,0.0,False,0.0,0.0,low
T7,Topic,0.0,False,0.0,0.0,low
T8,Topic,0.0,False,0.0,0.0,low
T9,Topic,0.0,False,0.0,0.0,low
T10,Topic,0.0,False,0.0,0.0,low
T11,Topic,0.0,False,0.0,0.0,low
T12,Topic,0.0,False,0.0,0.0,low
T13,Topic,0.0,False,0.0,0.0,low
T14,Topic,0.0,False,0.0,0.0,low
T15,Topic,0.0,False,0.0,0.0,low
T16,Topic,0.0,False,0.0,0.0,low
T17,Topic,0.0,False,0.0,0.0,low
T18,Topic,0.0,False,0.0,0.0,low
T19,Topic,0.0,False,0.0,0.0,low
T20,Topic,0.0,False,0.0,0.0,low
T21,Topic,0.0,False,0.0,0.0,low
T22,Topic,0.0,False,0.0,0.0,low
T23,Topic,0.0,False,0.0,0.0,low
T24,Topic,0.0,False,0.0,0.0,low
T25,Topic,0.0,False,0.0,0.0,low
T26,Topic,0.0,False,0.0,0.0,low
T27,Topic,0.0,False,0.0,0.0,low
T28,Topic,0.0,False,0.0,0.0,low
T29,Topic,0.0,False,0.0,0.0,low
T30,Topic,0.0,False,0.0,0.0,low
