component,impact_score,reachability_loss_pct,cascade_count,severity
N1,0.0101,0.00,0,LOW
N2,0.0101,0.00,0,LOW
N3,0.0101,0.00,0,LOW
N4,0.0101,0.00,0,LOW
N5,0.0101,0.00,0,LOW
N6,0.0101,0.00,0,LOW
N7,0.0101,0.00,0,LOW
N8,0.0101,0.00,0,LOW
N9,0.0101,0.00,0,LOW
N10,0.0101,0.00,0,LOW
N11,0.0101,0.00,0,LOW
N12,0.0101,0.00,0,LOW
N13,0.0101,0.00,0,LOW
N14,0.0101,0.00,0,LOW
N15,0.0101,0.00,0,LOW
B1,0.0101,0.00,0,LOW
B2,0.0101,0.00,0,LOW
B3,0.0101,0.00,0,LOW
B4,0.0101,0.00,0,LOW
A1,0.2525,3.37,0,LOW
A2,0.1515,3.37,0,LOW
A3,0.0909,3.37,0,LOW
A4,0.0505,2.98,0,LOW
A5,0.1515,2.98,0,LOW
A6,0.0909,3.37,0,LOW
A7,0.0808,2.98,0,LOW
A8,0.1111,3.37,0,LOW
A9,0.0606,2.98,0,LOW
A10,0.1818,2.98,0,LOW
A11,0.1111,3.37,0,LOW
A12,0.0909,2.98,0,LOW
A13,0.0505,3.37,0,LOW
A14,0.1414,3.37,0,LOW
A15,0.2222,3.37,0,LOW
A16,0.1515,2.98,0,LOW
A17,0.2323,3.37,0,LOW
A18,0.2020,3.37,0,LOW
A19,0.1717,3.47,0,LOW
A20,0.3030,6.15,0,MEDIUM
A21,0.3636,6.15,0,MEDIUM
A22,0.2222,6.15,0,LOW
A23,0.1818,6.15,0,LOW
A24,0.1313,2.98,0,LOW
A25,0.1515,2.98,0,LOW
A26,0.2727,6.15,0,LOW
A27,0.2727,6.15,0,LOW
A28,0.3232,6.15,0,MEDIUM
A29,0.1818,2.98,0,LOW
A30,0.2424,6.15,0,LOW
A31,0.1212,2.98,0,LOW
A32,0.1212,2.98,0,LOW
A33,0.1414,6.15,0,LOW
A34,0.2121,2.98,0,LOW
A35,0.1919,3.47,0,LOW
A36,0.3333,6.15,0,MEDIUM
A37,0.2727,6.15,0,LOW
A38,0.1818,2.98,0,LOW
A39,0.0303,2.98,0,LOW
A40,0.0707,2.98,0,LOW
A41,0.1414,2.98,0,LOW
A42,0.1313,3.57,0,LOW
A43,0.2929,8.93,0,LOW
A44,0.1818,2.98,0,LOW
A45,0.1818,6.15,0,LOW
A46,0.1414,6.15,0,LOW
A47,0.2020,3.37,0,LOW
A48,0.1212,2.98,0,LOW
A49,0.2020,3.37,0,LOW
A50,0.1717,2.98,0,LOW
T1,0.0101,0.00,0,LOW
T2,0.0101,0.00,0,LOW
T3,0.0101,0.00,0,LOW
T4,0.0101,0.00,0,LOW
T5,0.0101,0.00,0,LOW
T6,0.0101,0.00,0,LOW
T7,0.0101,0.00,0,LOW
T8,0.0101,0.00,0,LOW
T9,0.0101,0.00,0,LOW
T10,0.0101,0.00,0,LOW
T11,0.0101,0.00,0,LOW
T12,0.0101,0.00,0,LOW
T13,0.0101,0.00,0,LOW
T14,0.0101,0.00,0,LOW
T15,0.0101,0.00,0,LOW
T16,0.0101,0.00,0,LOW
T17,0.0101,0.00,0,LOW
T18,0.0101,0.00,0,LOW
T19,0.0101,0.00,0,LOW
T20,0.0101,0.00,0,LOW
T21,0.0101,0.00,0,LOW
T22,0.0101,0.00,0,LOW
T23,0.0101,0.00,0,LOW
T24,0.0101,0.00,0,LOW
T25,0.0101,0.00,0,LOW
T26,0.0101,0.00,0,LOW
T27,0.0101,0.00,0,LOW
T28,0.0101,0.00,0,LOW
T29,0.0101,0.00,0,LOW
T30,0.0101,0.00,0,LOW
